Query,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232
Lamborghini,45,42,40.0,43.0,50.0,40.0,35.0,34.0,38.0,36.0,38.0,34.0,39.0,41.0,41.0,39.0,41.0,37.0,38.0,36.0,41.0,38.0,37.0,38.0,50.0,45.0,41.0,38.0,44.0,37.0,38.0,40.0,41.0,44.0,43.0,39.0,40.0,40.0,47.0,41.0,41.0,41.0,41.0,41.0,68.0,51.0,55.0,55.0,49.0,43.0,47.0,43.0,47.0,42.0,45.0,47.0,49.0,57.0,53.0,51.0,51.0,48.0,53.0,53.0,55.0,53.0,55.0,55.0,59.0,57.0,59.0,57.0,54.0,52.0,58.0,58.0,55.0,50.0,53.0,54.0,56.0,59.0,58.0,58.0,53.0,53.0,63.0,56.0,64.0,55.0,58.0,63.0,63.0,62.0,60.0,64.0,58.0,64.0,68.0,72.0,69.0,68.0,67.0,71.0,68.0,61.0,60.0,58.0,60.0,58.0,94.0,70.0,78.0,67.0,69.0,71.0,68.0,71.0,74.0,85.0,76.0,71.0,77.0,71.0,74.0,69.0,73.0,76.0,72.0,82.0,68.0,70.0,76.0,71.0,75.0,79.0,78.0,74.0,77.0,77.0,72.0,70.0,71.0,72.0,71.0,67.0,72.0,68.0,69.0,65.0,62.0,71.0,69.0,65.0,64.0,65.0,70.0,70.0,81.0,71.0,66.0,64.0,70.0,70.0,71.0,72.0,79.0,90.0,72.0,71.0,69.0,75.0,69.0,64.0,65.0,72.0,68.0,71.0,70.0,78.0,81.0,81.0,83.0,81.0,79.0,79.0,75.0,76.0,75.0,68.0,71.0,73.0,72.0,100.0,67.0,67.0,79.0,84.0,92.0,87.0,85.0,78.0,70.0,73.0,74.0,66.0,73.0,78.0,73.0,77.0,79.0,81.0,68.0,64.0,61.0,69.0,68.0,65.0,65.0,73.0,69.0,69.0,75.0,74.0,71.0,66.0,69.0,71.0,71.0,66.0,65.0,78.0
Nissan Skyline,100,91,82.0,77.0,77.0,68.0,61.0,58.0,66.0,65.0,62.0,61.0,62.0,59.0,56.0,57.0,52.0,48.0,51.0,45.0,45.0,52.0,45.0,42.0,41.0,41.0,39.0,35.0,35.0,36.0,37.0,38.0,37.0,36.0,38.0,32.0,33.0,30.0,28.0,30.0,29.0,28.0,29.0,28.0,27.0,30.0,31.0,28.0,25.0,26.0,25.0,24.0,24.0,21.0,22.0,22.0,22.0,22.0,20.0,20.0,20.0,19.0,19.0,33.0,26.0,23.0,22.0,26.0,22.0,19.0,19.0,19.0,19.0,19.0,19.0,16.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,12.0,14.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,13.0,14.0,15.0,14.0,14.0,14.0,13.0,15.0,15.0,16.0,16.0,15.0,15.0,19.0,20.0,21.0,17.0,13.0,11.0,11.0,10.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,12.0,14.0,16.0,15.0,13.0,14.0
Porsche,98,89,95.0,90.0,99.0,93.0,99.0,94.0,96.0,88.0,90.0,90.0,91.0,91.0,96.0,97.0,100.0,90.0,94.0,95.0,97.0,90.0,88.0,88.0,88.0,87.0,88.0,89.0,93.0,85.0,89.0,89.0,85.0,87.0,82.0,83.0,82.0,80.0,84.0,86.0,87.0,86.0,87.0,78.0,84.0,82.0,78.0,82.0,77.0,81.0,80.0,77.0,77.0,75.0,76.0,70.0,75.0,70.0,73.0,71.0,78.0,75.0,71.0,79.0,80.0,78.0,82.0,80.0,77.0,78.0,79.0,74.0,70.0,73.0,82.0,77.0,79.0,70.0,74.0,75.0,72.0,74.0,74.0,70.0,76.0,73.0,72.0,77.0,74.0,79.0,76.0,80.0,78.0,72.0,76.0,74.0,77.0,76.0,82.0,82.0,76.0,75.0,74.0,73.0,71.0,68.0,69.0,69.0,69.0,75.0,76.0,79.0,81.0,74.0,75.0,73.0,73.0,71.0,76.0,98.0,73.0,74.0,80.0,77.0,80.0,76.0,76.0,77.0,73.0,73.0,73.0,71.0,73.0,76.0,79.0,86.0,89.0,89.0,78.0,81.0,79.0,75.0,74.0,74.0,71.0,71.0,75.0,74.0,71.0,75.0,73.0,70.0,71.0,69.0,64.0,68.0,69.0,70.0,73.0,74.0,75.0,78.0,79.0,76.0,76.0,72.0,76.0,69.0,69.0,68.0,72.0,71.0,73.0,77.0,74.0,71.0,72.0,73.0,72.0,68.0,70.0,66.0,73.0,74.0,72.0,73.0,70.0,77.0,77.0,67.0,75.0,70.0,70.0,75.0,61.0,65.0,73.0,81.0,80.0,83.0,75.0,77.0,73.0,74.0,71.0,73.0,77.0,79.0,77.0,78.0,77.0,74.0,72.0,71.0,72.0,74.0,75.0,73.0,70.0,74.0,69.0,74.0,76.0,76.0,73.0,72.0,70.0,70.0,74.0,73.0,74.0,76.0
Garfield,45,42,42.0,46.0,51.0,71.0,78.0,91.0,72.0,61.0,55.0,55.0,46.0,47.0,43.0,39.0,38.0,36.0,34.0,35.0,34.0,33.0,32.0,35.0,33.0,33.0,32.0,29.0,28.0,34.0,41.0,42.0,33.0,33.0,29.0,32.0,28.0,26.0,27.0,23.0,24.0,24.0,24.0,23.0,25.0,23.0,25.0,25.0,24.0,23.0,26.0,26.0,23.0,22.0,20.0,21.0,24.0,23.0,23.0,22.0,24.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,21.0,24.0,23.0,25.0,23.0,25.0,24.0,24.0,25.0,24.0,35.0,27.0,26.0,32.0,31.0,31.0,38.0,32.0,27.0,26.0,25.0,27.0,30.0,33.0,28.0,28.0,28.0,28.0,27.0,29.0,26.0,30.0,26.0,32.0,63.0,32.0,27.0,27.0,32.0,28.0,27.0,27.0,26.0,24.0,23.0,25.0,27.0,25.0,21.0,21.0,20.0,23.0,23.0,23.0,25.0,37.0,54.0,29.0,25.0,28.0,24.0,23.0,22.0,25.0,25.0,29.0,23.0,26.0,26.0,24.0,23.0,23.0,23.0,20.0,20.0,20.0,20.0,22.0,21.0,19.0,20.0,20.0,19.0,18.0,19.0,20.0,20.0,20.0,31.0,27.0,22.0,19.0,18.0,19.0,26.0,20.0,17.0,20.0,17.0,18.0,18.0,19.0,19.0,19.0,20.0,19.0,18.0,17.0,18.0,18.0,19.0,17.0,18.0,18.0,19.0,18.0,20.0,18.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,16.0,16.0,19.0,19.0,19.0,18.0,17.0,17.0,19.0,18.0,19.0,18.0,17.0,17.0,17.0,18.0,17.0,17.0,24.0,24.0,19.0,37.0,100.0,78.0,39.0,39.0,34.0,24.0,26.0,24.0,26.0,21.0,19.0,21.0,21.0,23.0,21.0,20.0,20.0
Hello Kitty,37,39,39.0,36.0,37.0,39.0,39.0,42.0,42.0,46.0,48.0,50.0,44.0,44.0,41.0,42.0,43.0,44.0,46.0,45.0,42.0,42.0,43.0,48.0,42.0,42.0,41.0,36.0,36.0,36.0,39.0,41.0,40.0,39.0,38.0,45.0,37.0,35.0,34.0,37.0,39.0,41.0,46.0,52.0,46.0,48.0,49.0,60.0,49.0,50.0,47.0,48.0,49.0,48.0,51.0,54.0,56.0,55.0,60.0,70.0,60.0,62.0,60.0,58.0,62.0,61.0,65.0,69.0,72.0,77.0,88.0,100.0,78.0,75.0,76.0,75.0,71.0,70.0,0.0,0.0,0.0,76.0,93.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,84.0,81.0,0.0,78.0,90.0,0.0,78.0,0.0,70.0,64.0,0.0,0.0,0.0,63.0,0.0,61.0,66.0,70.0,59.0,0.0,54.0,0.0,58.0,0.0,59.0,0.0,0.0,56.0,0.0,0.0,50.0,50.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,0.0,43.0,37.0,37.0,35.0,33.0,31.0,31.0,0.0,0.0,0.0,31.0,32.0,0.0,28.0,27.0,24.0,24.0,21.0,22.0,26.0,24.0,23.0,23.0,24.0,27.0,21.0,22.0,21.0,20.0,20.0,19.0,21.0,21.0,19.0,19.0,19.0,20.0,17.0,17.0,18.0,16.0,16.0,16.0,17.0,18.0,16.0,17.0,21.0,17.0,16.0,16.0,15.0,15.0,16.0,17.0,19.0,21.0,20.0,20.0,21.0,22.0,19.0,19.0,18.0,18.0,19.0,18.0,24.0,19.0,19.0,20.0,21.0,27.0,29.0,27.0,27.0,31.0,32.0,33.0,32.0,37.0,33.0,35.0,40.0,42.0,44.0,46.0,46.0,47.0
SCO,71,100,48.0,37.0,32.0,37.0,36.0,31.0,26.0,23.0,29.0,26.0,24.0,22.0,20.0,20.0,20.0,19.0,20.0,20.0,19.0,17.0,17.0,16.0,13.0,16.0,14.0,15.0,14.0,17.0,13.0,13.0,13.0,13.0,12.0,13.0,12.0,12.0,14.0,12.0,15.0,15.0,17.0,19.0,15.0,12.0,13.0,12.0,11.0,12.0,10.0,11.0,11.0,10.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,10.0,11.0,9.0,12.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,12.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,12.0,11.0,12.0,9.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,16.0,9.0,11.0,12.0,10.0,8.0,8.0,10.0,11.0,9.0,9.0,14.0,19.0,38.0,34.0,18.0,16.0,12.0,14.0,18.0,12.0,9.0,8.0,8.0,10.0,10.0,10.0,12.0,10.0,9.0,11.0,13.0,11.0,9.0,11.0,12.0,10.0,11.0,13.0,16.0,41.0,96.0,12.0,14.0,12.0,13.0,12.0,13.0,11.0,16.0,14.0,19.0,22.0,11.0,15.0,17.0,15.0,12.0,11.0
Johnson & Johnson,58,65,66.0,62.0,56.0,60.0,60.0,59.0,60.0,55.0,51.0,51.0,54.0,56.0,56.0,56.0,55.0,52.0,51.0,51.0,49.0,50.0,47.0,44.0,49.0,48.0,48.0,46.0,47.0,45.0,42.0,46.0,43.0,40.0,38.0,33.0,38.0,37.0,37.0,38.0,37.0,37.0,36.0,40.0,33.0,36.0,31.0,27.0,36.0,35.0,34.0,34.0,31.0,31.0,33.0,32.0,30.0,30.0,27.0,26.0,30.0,30.0,32.0,30.0,28.0,28.0,28.0,26.0,30.0,30.0,28.0,24.0,32.0,27.0,29.0,27.0,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,12.0,11.0,12.0,12.0,10.0,13.0,13.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,10.0,14.0,10.0,11.0,10.0,11.0,12.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,13.0,11.0,12.0,11.0,10.0,11.0,12.0,13.0,14.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,23.0,35.0,79.0,83.0,96.0,100.0,71.0,51.0,39.0,38.0,51.0,33.0,52.0,25.0,17.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,11.0,13.0
ING,0,0,0.0,0.0,0.0,0.0,32.0,34.0,0.0,0.0,36.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,46.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,55.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,58.0,74.0,0.0,67.0,70.0,67.0,67.0,72.0,66.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,94.0,0.0,96.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,92.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,94.0,0.0,0.0,0.0,0.0,89.0,89.0,92.0,86.0,86.0,87.0,85.0,89.0,95.0,92.0,87.0,78.0,87.0,86.0,86.0,78.0,88.0,83.0,82.0,81.0,83.0,88.0,83.0,83.0,77.0,83.0,78.0,74.0,77.0,77.0,77.0,79.0,68.0,67.0,67.0,67.0,68.0,66.0,61.0,62.0,64.0,63.0,62.0,62.0,62.0,61.0,63.0,62.0,63.0,60.0,61.0,62.0,66.0,68.0,64.0,65.0,70.0,68.0,62.0,62.0,65.0,64.0,62.0,60.0,61.0,61.0,59.0,55.0,60.0,57.0,60.0,57.0,56.0,56.0,58.0,54.0,56.0,53.0,56.0,50.0,53.0,52.0,52.0,48.0,47.0,49.0,45.0,47.0,49.0,43.0,46.0,46.0,43.0,45.0,49.0,42.0,40.0,42.0,38.0,38.0,43.0,40.0,41.0,38.0,39.0,44.0,44.0,39.0,38.0,37.0,36.0,38.0,38.0,37.0,38.0,35.0,37.0,40.0,38.0,35.0
GE Aviation,24,59,0.0,0.0,30.0,47.0,24.0,0.0,0.0,58.0,0.0,0.0,55.0,0.0,16.0,31.0,45.0,45.0,0.0,0.0,12.0,0.0,16.0,17.0,0.0,22.0,28.0,37.0,28.0,32.0,72.0,40.0,21.0,30.0,34.0,44.0,46.0,40.0,38.0,14.0,72.0,59.0,49.0,54.0,44.0,73.0,75.0,60.0,85.0,92.0,81.0,78.0,68.0,69.0,77.0,83.0,77.0,77.0,72.0,77.0,72.0,72.0,71.0,72.0,49.0,67.0,64.0,54.0,76.0,76.0,71.0,48.0,55.0,60.0,74.0,78.0,70.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,71.0,0.0,81.0,76.0,0.0,0.0,0.0,100.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,77.0,64.0,0.0,80.0,81.0,0.0,0.0,0.0,76.0,74.0,64.0,79.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,71.0,0.0,73.0,0.0,69.0,0.0,0.0,0.0,0.0,77.0,80.0,75.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,67.0,67.0,0.0,71.0,0.0,0.0,72.0,0.0,0.0,68.0,77.0,78.0,65.0,65.0,73.0,63.0,63.0,66.0,69.0,74.0,55.0,77.0,73.0,77.0,67.0,68.0,60.0,64.0,66.0,74.0,82.0,74.0,61.0,76.0,77.0,86.0,74.0,84.0,89.0,85.0,79.0,79.0,81.0,79.0,65.0,78.0,75.0,86.0,63.0,75.0,65.0,56.0,48.0,54.0,46.0,42.0,43.0,47.0,43.0,50.0,44.0,46.0,49.0,46.0,51.0,61.0,61.0,68.0,48.0,58.0,64.0,66.0,58.0,53.0,61.0,60.0,61.0,63.0,57.0,46.0,41.0,46.0,52.0,45.0,44.0
Fleet,78,82,83.0,90.0,78.0,84.0,100.0,81.0,75.0,72.0,68.0,66.0,69.0,65.0,70.0,64.0,72.0,65.0,62.0,60.0,50.0,52.0,48.0,42.0,42.0,44.0,41.0,40.0,47.0,42.0,45.0,41.0,40.0,41.0,34.0,36.0,34.0,36.0,37.0,37.0,40.0,37.0,40.0,39.0,36.0,41.0,38.0,36.0,38.0,40.0,40.0,41.0,45.0,45.0,46.0,43.0,43.0,48.0,41.0,44.0,45.0,42.0,45.0,43.0,44.0,41.0,41.0,42.0,40.0,40.0,38.0,38.0,36.0,36.0,38.0,37.0,41.0,38.0,38.0,39.0,37.0,40.0,38.0,36.0,36.0,42.0,42.0,45.0,53.0,44.0,43.0,41.0,42.0,43.0,41.0,40.0,40.0,35.0,37.0,41.0,39.0,39.0,38.0,36.0,37.0,37.0,36.0,35.0,35.0,36.0,36.0,38.0,37.0,39.0,40.0,39.0,37.0,42.0,39.0,39.0,37.0,36.0,40.0,38.0,40.0,40.0,37.0,39.0,36.0,41.0,40.0,39.0,35.0,35.0,37.0,38.0,40.0,41.0,40.0,39.0,38.0,41.0,42.0,36.0,36.0,36.0,36.0,38.0,41.0,39.0,38.0,40.0,37.0,41.0,40.0,39.0,36.0,36.0,39.0,41.0,45.0,42.0,43.0,44.0,42.0,46.0,48.0,45.0,43.0,42.0,43.0,44.0,50.0,44.0,50.0,46.0,46.0,55.0,53.0,51.0,57.0,52.0,49.0,50.0,52.0,51.0,48.0,48.0,49.0,49.0,50.0,47.0,43.0,40.0,40.0,42.0,49.0,47.0,46.0,43.0,41.0,42.0,46.0,46.0,41.0,39.0,42.0,45.0,45.0,42.0,46.0,45.0,44.0,46.0,50.0,47.0,43.0,42.0,44.0,43.0,39.0,44.0,43.0,44.0,41.0,42.0,40.0,39.0,40.0,41.0,40.0,41.0
eBay,50,48,49.0,49.0,47.0,49.0,54.0,55.0,54.0,57.0,59.0,63.0,61.0,61.0,64.0,64.0,64.0,66.0,68.0,70.0,74.0,70.0,79.0,79.0,77.0,80.0,82.0,79.0,78.0,76.0,82.0,87.0,82.0,86.0,90.0,90.0,90.0,89.0,88.0,85.0,90.0,90.0,88.0,89.0,93.0,91.0,99.0,100.0,91.0,92.0,93.0,91.0,89.0,89.0,87.0,88.0,89.0,87.0,93.0,93.0,85.0,88.0,85.0,82.0,82.0,84.0,84.0,84.0,80.0,82.0,83.0,78.0,77.0,76.0,76.0,75.0,76.0,69.0,75.0,77.0,77.0,74.0,80.0,82.0,76.0,75.0,76.0,74.0,75.0,71.0,74.0,73.0,76.0,76.0,85.0,79.0,76.0,74.0,73.0,76.0,69.0,69.0,69.0,69.0,73.0,76.0,85.0,82.0,82.0,79.0,78.0,77.0,75.0,74.0,72.0,75.0,72.0,71.0,74.0,71.0,69.0,70.0,65.0,63.0,70.0,65.0,63.0,65.0,65.0,65.0,66.0,66.0,62.0,60.0,57.0,58.0,56.0,51.0,55.0,56.0,55.0,55.0,57.0,56.0,49.0,46.0,47.0,45.0,43.0,43.0,43.0,40.0,42.0,41.0,43.0,43.0,39.0,40.0,41.0,40.0,39.0,38.0,40.0,42.0,40.0,39.0,42.0,39.0,36.0,36.0,37.0,33.0,32.0,32.0,32.0,30.0,31.0,31.0,33.0,30.0,30.0,30.0,30.0,29.0,29.0,28.0,27.0,27.0,27.0,27.0,30.0,27.0,28.0,27.0,25.0,30.0,31.0,29.0,29.0,25.0,24.0,24.0,26.0,26.0,25.0,25.0,23.0,23.0,22.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,18.0,17.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,15.0,15.0
MapQuest,54,56,59.0,61.0,65.0,75.0,75.0,74.0,69.0,68.0,61.0,63.0,64.0,67.0,74.0,75.0,76.0,84.0,86.0,89.0,80.0,74.0,70.0,71.0,73.0,74.0,82.0,84.0,85.0,99.0,100.0,95.0,86.0,83.0,77.0,73.0,76.0,75.0,82.0,84.0,81.0,88.0,91.0,88.0,77.0,73.0,66.0,63.0,64.0,65.0,65.0,69.0,72.0,77.0,76.0,75.0,69.0,68.0,57.0,57.0,57.0,58.0,58.0,60.0,59.0,62.0,62.0,60.0,52.0,56.0,50.0,48.0,47.0,51.0,55.0,54.0,55.0,54.0,61.0,56.0,54.0,52.0,48.0,46.0,46.0,45.0,50.0,48.0,49.0,56.0,58.0,57.0,54.0,51.0,43.0,46.0,45.0,45.0,45.0,37.0,39.0,42.0,44.0,40.0,38.0,39.0,31.0,30.0,31.0,32.0,32.0,33.0,33.0,35.0,35.0,34.0,28.0,28.0,25.0,24.0,23.0,25.0,25.0,26.0,26.0,28.0,28.0,24.0,23.0,22.0,19.0,18.0,16.0,17.0,20.0,20.0,20.0,22.0,21.0,19.0,17.0,16.0,12.0,12.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,63,58,65.0,64.0,63.0,66.0,96.0,53.0,56.0,53.0,56.0,52.0,59.0,60.0,60.0,60.0,64.0,65.0,100.0,57.0,56.0,55.0,59.0,54.0,56.0,58.0,59.0,56.0,60.0,67.0,85.0,54.0,57.0,53.0,50.0,53.0,57.0,56.0,56.0,58.0,62.0,66.0,82.0,55.0,54.0,53.0,48.0,52.0,53.0,52.0,58.0,49.0,55.0,56.0,71.0,52.0,52.0,48.0,48.0,48.0,54.0,54.0,55.0,55.0,56.0,73.0,84.0,53.0,52.0,51.0,52.0,58.0,61.0,60.0,57.0,57.0,59.0,64.0,73.0,51.0,49.0,47.0,47.0,58.0,46.0,45.0,46.0,45.0,47.0,50.0,67.0,45.0,47.0,43.0,38.0,40.0,41.0,45.0,40.0,42.0,42.0,51.0,55.0,40.0,39.0,38.0,34.0,37.0,43.0,41.0,41.0,38.0,42.0,47.0,51.0,37.0,35.0,36.0,35.0,33.0,36.0,37.0,34.0,35.0,39.0,49.0,58.0,37.0,36.0,33.0,31.0,33.0,43.0,35.0,35.0,33.0,34.0,38.0,48.0,32.0,33.0,31.0,40.0,30.0,29.0,29.0,29.0,29.0,32.0,42.0,57.0,30.0,27.0,27.0,28.0,25.0,31.0,28.0,30.0,29.0,32.0,33.0,48.0,28.0,30.0,29.0,29.0,30.0,30.0,32.0,33.0,29.0,32.0,45.0,62.0,28.0,28.0,29.0,30.0,29.0,30.0,27.0,31.0,28.0,29.0,39.0,47.0,27.0,30.0,30.0,29.0,26.0,29.0,30.0,47.0,35.0,31.0,30.0,33.0,33.0,41.0,36.0,30.0,29.0,30.0,29.0,31.0,28.0,31.0,50.0,42.0,30.0,30.0,30.0,32.0,31.0,29.0,30.0,31.0,31.0,30.0,35.0,42.0,28.0,29.0,24.0,36.0,63.0,29.0,28.0,31.0,26.0
China,56,57,58.0,60.0,60.0,54.0,50.0,57.0,57.0,57.0,58.0,57.0,56.0,57.0,61.0,63.0,59.0,54.0,56.0,56.0,55.0,53.0,56.0,49.0,51.0,51.0,54.0,51.0,52.0,46.0,45.0,47.0,47.0,50.0,48.0,45.0,45.0,46.0,47.0,46.0,48.0,43.0,44.0,48.0,46.0,49.0,48.0,43.0,47.0,43.0,44.0,49.0,58.0,44.0,42.0,66.0,45.0,43.0,43.0,37.0,40.0,38.0,42.0,39.0,40.0,38.0,39.0,38.0,41.0,45.0,43.0,41.0,42.0,43.0,45.0,47.0,43.0,39.0,42.0,43.0,42.0,40.0,44.0,39.0,43.0,39.0,43.0,43.0,40.0,41.0,39.0,41.0,41.0,44.0,45.0,40.0,39.0,40.0,40.0,41.0,39.0,41.0,38.0,42.0,43.0,39.0,40.0,39.0,38.0,39.0,40.0,43.0,39.0,37.0,38.0,38.0,38.0,41.0,41.0,37.0,38.0,38.0,39.0,39.0,41.0,35.0,36.0,38.0,39.0,38.0,39.0,38.0,38.0,36.0,37.0,39.0,39.0,39.0,38.0,45.0,40.0,41.0,39.0,39.0,39.0,39.0,39.0,40.0,39.0,37.0,40.0,41.0,40.0,41.0,40.0,39.0,38.0,40.0,38.0,40.0,39.0,38.0,43.0,44.0,42.0,41.0,42.0,39.0,40.0,39.0,40.0,42.0,40.0,38.0,39.0,41.0,43.0,42.0,42.0,40.0,41.0,40.0,39.0,38.0,43.0,40.0,38.0,42.0,44.0,48.0,43.0,40.0,58.0,65.0,100.0,67.0,58.0,61.0,53.0,43.0,49.0,40.0,39.0,40.0,40.0,39.0,37.0,39.0,45.0,41.0,44.0,43.0,42.0,45.0,42.0,38.0,38.0,48.0,46.0,40.0,39.0,37.0,34.0,48.0,38.0,37.0,37.0,39.0,37.0,42.0,39.0,39.0
